epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1115.35,1.70813,2.50178,2.09543,0.01841,0.25266,0.01595,0.0046,2.48069,30.6657,4.20255,0.000552562,0.000552562,0.000552562
2,2077.27,1.9314,2.64471,2.22102,0.07081,0.10607,0.02824,0.00816,nan,nan,nan,0.00108629,0.00108629,0.00108629
3,3128.33,1.81009,2.49255,2.13767,0.61782,0.16462,0.09141,0.02544,2.55379,3.28556,3.21454,0.00159801,0.00159801,0.00159801
4,4649.47,1.74327,2.30173,2.04824,0.66367,0.18681,0.16118,0.06229,2.06811,2.58083,2.62955,0.00156798,0.00156798,0.00156798
5,5669.86,1.65196,2.2056,1.96014,0.3425,0.28019,0.1944,0.07086,1.8673,2.52889,2.44151,0.00153497,0.00153497,0.00153497
6,6759.58,1.61637,2.10449,1.94651,0.65735,0.18579,0.1278,0.04229,2.1629,2.80677,2.98497,0.00150197,0.00150197,0.00150197
7,7987.68,1.56909,2.02552,1.90052,0.32607,0.35762,0.28974,0.12486,1.84023,2.00067,2.3024,0.00146896,0.00146896,0.00146896
8,9328.6,1.56174,1.96625,1.89644,0.77953,0.34904,0.38252,0.1743,1.63121,1.86156,2.1614,0.00143595,0.00143595,0.00143595
9,10559.2,1.53725,1.94315,1.86386,0.44483,0.37186,0.32095,0.1519,1.67092,2.28908,2.23682,0.00140295,0.00140295,0.00140295
10,11763.4,1.50382,1.85397,1.82819,0.49468,0.47773,0.45459,0.2261,1.5368,1.69152,2.01464,0.00136994,0.00136994,0.00136994
11,12950.6,1.49311,1.80802,1.81496,0.43969,0.38552,0.41028,0.20286,1.5901,1.5874,2.06254,0.00133693,0.00133693,0.00133693
12,14137,1.45462,1.78414,1.7924,0.46926,0.42363,0.41311,0.19203,1.70225,1.67223,2.14575,0.00130393,0.00130393,0.00130393
13,15297,1.42575,1.71895,1.76993,0.39552,0.55594,0.47361,0.24703,1.56439,1.50094,2.03177,0.00127092,0.00127092,0.00127092
14,16323.8,1.43345,1.72053,1.78643,0.55575,0.44296,0.47259,0.25383,1.49967,1.46087,1.99832,0.00123791,0.00123791,0.00123791
15,17350.2,1.41984,1.68106,1.77911,0.45275,0.5515,0.51447,0.28953,1.42793,1.37021,1.89631,0.00120491,0.00120491,0.00120491
16,18636.9,1.39302,1.61973,1.74893,0.4489,0.56836,0.51507,0.28105,1.42858,1.33215,1.89947,0.0011719,0.0011719,0.0011719
17,19701.8,1.36514,1.5654,1.731,0.52266,0.57795,0.5447,0.28584,1.46115,1.31253,1.93454,0.00113889,0.00113889,0.00113889
18,21050.4,1.37941,1.60302,1.74408,0.52248,0.55464,0.53845,0.3001,1.42582,1.31104,1.8912,0.00110589,0.00110589,0.00110589
19,21960.9,1.3807,1.57841,1.74259,0.37849,0.57964,0.48046,0.26501,1.43089,1.37724,1.92419,0.00107288,0.00107288,0.00107288
20,22719.7,1.33815,1.5233,1.70615,0.59147,0.6138,0.60308,0.33547,1.38978,1.262,1.85178,0.00103987,0.00103987,0.00103987
21,23465,1.31489,1.5067,1.69255,0.53549,0.60089,0.55962,0.32403,1.39071,1.25961,1.8834,0.00100687,0.00100687,0.00100687
22,24441.4,1.31927,1.48871,1.68633,0.53762,0.57753,0.57829,0.34851,1.27636,1.16019,1.7611,0.000973861,0.000973861,0.000973861
23,25541.3,1.29634,1.44894,1.6628,0.55142,0.62992,0.58083,0.34501,1.29535,1.14879,1.77012,0.000940855,0.000940855,0.000940855
24,26438.6,1.27959,1.41605,1.65837,0.61098,0.66518,0.65468,0.39684,1.26007,1.08125,1.7416,0.000907848,0.000907848,0.000907848
25,27157.2,1.27283,1.38491,1.65694,0.53107,0.60692,0.58012,0.33694,1.28632,1.14258,1.77151,0.000874842,0.000874842,0.000874842
26,27949.9,1.27068,1.39761,1.65605,0.61716,0.69795,0.65596,0.39611,1.3061,1.13129,1.79717,0.000841835,0.000841835,0.000841835
27,28895.8,1.24957,1.35233,1.63111,0.65444,0.62884,0.6671,0.41096,1.21959,1.06119,1.69482,0.000808828,0.000808828,0.000808828
28,29734.3,1.23367,1.30778,1.6182,0.66196,0.62838,0.6879,0.42358,1.24657,1.01922,1.71748,0.000775822,0.000775822,0.000775822
29,30681.4,1.21053,1.29308,1.5958,0.62134,0.64952,0.64824,0.39923,1.23924,1.0144,1.7224,0.000742815,0.000742815,0.000742815
30,31755.9,1.20682,1.27932,1.58757,0.65241,0.67978,0.69174,0.42699,1.18668,0.99791,1.66044,0.000709809,0.000709809,0.000709809
31,32694.8,1.1933,1.26134,1.58847,0.61598,0.66482,0.66489,0.41558,1.18114,0.97566,1.65519,0.000676802,0.000676802,0.000676802
32,33571.5,1.18436,1.24364,1.57694,0.65014,0.71113,0.70196,0.43672,1.23615,0.9696,1.69052,0.000643795,0.000643795,0.000643795
33,34740.8,1.17026,1.20102,1.55351,0.69912,0.65715,0.72628,0.45218,1.18217,0.96059,1.65108,0.000610789,0.000610789,0.000610789
34,35754,1.14947,1.18874,1.54677,0.65807,0.72675,0.71399,0.46646,1.14134,0.90291,1.60893,0.000577782,0.000577782,0.000577782
35,36568.7,1.16388,1.20009,1.55827,0.72642,0.67773,0.71657,0.47084,1.12635,0.87213,1.59751,0.000544776,0.000544776,0.000544776
36,37466.1,1.12401,1.13287,1.52515,0.70446,0.71721,0.74899,0.49728,1.10716,0.855,1.58969,0.000511769,0.000511769,0.000511769
37,38358.7,1.11143,1.14473,1.51399,0.70374,0.74645,0.74712,0.49474,1.0921,0.8163,1.56766,0.000478762,0.000478762,0.000478762
38,39572,1.11809,1.12642,1.52091,0.74178,0.74822,0.77591,0.50376,1.10375,0.83505,1.55725,0.000445756,0.000445756,0.000445756
39,40711,1.11209,1.11949,1.5142,0.72086,0.73473,0.75534,0.50289,1.0804,0.78283,1.53873,0.000412749,0.000412749,0.000412749
40,41798.1,1.0867,1.09806,1.49083,0.70788,0.73909,0.7371,0.49162,1.05578,0.7999,1.5121,0.000379743,0.000379743,0.000379743
41,42954,0.96899,0.81037,1.45853,0.66268,0.70997,0.69779,0.46841,1.10484,0.85155,1.58013,0.000346736,0.000346736,0.000346736
42,43739.2,0.94223,0.75256,1.43758,0.74026,0.72445,0.76613,0.5283,1.02721,0.75242,1.51346,0.000313729,0.000313729,0.000313729
43,44555.4,0.91477,0.7104,1.40652,0.72204,0.78038,0.78581,0.54334,0.99138,0.70332,1.46849,0.000280723,0.000280723,0.000280723
44,45529.2,0.89541,0.69685,1.4029,0.78865,0.74119,0.80472,0.57104,0.96615,0.68842,1.44448,0.000247716,0.000247716,0.000247716
45,46564.4,0.87487,0.68347,1.38557,0.77501,0.82077,0.83199,0.59786,0.94109,0.64139,1.41631,0.00021471,0.00021471,0.00021471
46,47573,0.84528,0.64799,1.35596,0.78054,0.80061,0.81738,0.59292,0.9293,0.62945,1.41052,0.000181703,0.000181703,0.000181703
47,48596.8,0.82113,0.64179,1.33761,0.77408,0.82199,0.84304,0.61853,0.90163,0.61131,1.37642,0.000148696,0.000148696,0.000148696
48,49635.5,0.79763,0.60366,1.32182,0.78547,0.84221,0.84076,0.61668,0.89733,0.60463,1.37591,0.00011569,0.00011569,0.00011569
49,50807.5,0.77989,0.5862,1.31229,0.84092,0.76696,0.83269,0.61689,0.87419,0.61382,1.35051,8.26832e-05,8.26832e-05,8.26832e-05
50,51654.6,0.77734,0.5763,1.30136,0.77911,0.83108,0.83211,0.62047,0.8714,0.59871,1.34811,4.96766e-05,4.96766e-05,4.96766e-05
