epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5237,1.67464,2.35529,1.84694,0.3543,0.38789,0.29576,0.10511,2.06334,2.42041,2.48103,0.000664564,0.000664564,0.000664564
2,171.81,1.85853,2.29487,2.05345,0.21782,0.31043,0.18601,0.06279,2.15145,4.31294,2.4815,0.00130487,0.00130487,0.00130487
3,250.525,1.86193,2.2566,2.05475,0.32474,0.40944,0.28666,0.10285,1.9896,3.17667,2.34827,0.00191878,0.00191878,0.00191878
4,328.09,1.79831,2.17198,2.00252,0.47186,0.44613,0.4396,0.17124,1.91619,2.2058,2.24503,0.0018812,0.0018812,0.0018812
5,404.43,1.76311,2.1035,1.96217,0.48782,0.47758,0.45616,0.19469,1.84515,1.97476,2.18168,0.0018416,0.0018416,0.0018416
6,481.197,1.72965,2.02332,1.94028,0.55493,0.51369,0.51418,0.21495,1.87084,1.84555,2.23713,0.001802,0.001802,0.001802
7,557.962,1.70999,1.98265,1.90841,0.57685,0.49447,0.52072,0.2176,1.87761,1.87228,2.16358,0.0017624,0.0017624,0.0017624
8,635.943,1.69419,1.92197,1.8925,0.56353,0.50437,0.53961,0.22969,1.86426,1.77531,2.12662,0.0017228,0.0017228,0.0017228
9,712.7,1.65134,1.86758,1.86192,0.59305,0.52113,0.55439,0.24728,1.77432,1.74288,2.0755,0.0016832,0.0016832,0.0016832
10,789.578,1.64511,1.84415,1.85233,0.60963,0.53572,0.57717,0.26629,1.71188,1.73555,2.0445,0.0016436,0.0016436,0.0016436
11,867.073,1.63257,1.80713,1.8361,0.61478,0.55154,0.60184,0.27699,1.73626,1.57596,2.02375,0.001604,0.001604,0.001604
12,944.957,1.60756,1.79564,1.82296,0.68978,0.57309,0.65475,0.30847,1.71858,1.52969,2.01047,0.0015644,0.0015644,0.0015644
13,1023.04,1.57862,1.7626,1.81592,0.66258,0.53873,0.59995,0.28723,1.7344,1.6008,2.07211,0.0015248,0.0015248,0.0015248
14,1100.38,1.59363,1.75385,1.80449,0.67204,0.58358,0.64836,0.30368,1.71318,1.70821,1.99906,0.0014852,0.0014852,0.0014852
15,1177.49,1.5751,1.69882,1.79688,0.69745,0.61852,0.69063,0.33938,1.65628,1.43103,1.9754,0.0014456,0.0014456,0.0014456
16,1257.41,1.55935,1.66021,1.77446,0.67081,0.63732,0.68067,0.33802,1.68175,1.38975,1.98388,0.001406,0.001406,0.001406
17,1334.31,1.56485,1.6561,1.78503,0.70202,0.62433,0.69173,0.35116,1.65831,1.38507,1.95456,0.0013664,0.0013664,0.0013664
18,1411.15,1.54549,1.62772,1.77204,0.68366,0.64182,0.6905,0.34346,1.63153,1.43638,1.93144,0.0013268,0.0013268,0.0013268
19,1488.1,1.54024,1.60335,1.75622,0.71677,0.64007,0.69999,0.34886,1.631,1.34785,1.9382,0.0012872,0.0012872,0.0012872
20,1564.6,1.52632,1.57339,1.7424,0.69594,0.62785,0.69754,0.3554,1.60185,1.36584,1.90883,0.0012476,0.0012476,0.0012476
21,1641.39,1.51963,1.56227,1.72889,0.70265,0.64997,0.71473,0.36391,1.62388,1.3153,1.91639,0.001208,0.001208,0.001208
22,1717.99,1.52202,1.54337,1.73545,0.72889,0.64939,0.73618,0.3796,1.57837,1.26236,1.8651,0.0011684,0.0011684,0.0011684
23,1794.3,1.49074,1.5158,1.71352,0.74034,0.66162,0.74018,0.38849,1.57481,1.26148,1.87574,0.0011288,0.0011288,0.0011288
24,1871.17,1.48589,1.51674,1.72132,0.73905,0.6424,0.72799,0.38168,1.57553,1.25657,1.88474,0.0010892,0.0010892,0.0010892
25,1948.85,1.49608,1.50744,1.7087,0.73217,0.67036,0.74283,0.39119,1.55018,1.28861,1.84229,0.0010496,0.0010496,0.0010496
26,2025.78,1.46843,1.46919,1.69728,0.75635,0.67036,0.75654,0.40008,1.55129,1.20041,1.84555,0.00101,0.00101,0.00101
27,2102.24,1.46625,1.456,1.70222,0.77771,0.67036,0.76871,0.41498,1.54712,1.18141,1.85575,0.0009704,0.0009704,0.0009704
28,2180.01,1.45109,1.42355,1.67985,0.77369,0.69091,0.77007,0.40739,1.55933,1.15917,1.85999,0.0009308,0.0009308,0.0009308
29,2258.34,1.46227,1.43092,1.69231,0.79198,0.69307,0.7787,0.42045,1.53457,1.13366,1.81735,0.0008912,0.0008912,0.0008912
30,2336.04,1.44528,1.42043,1.68179,0.79129,0.70821,0.78896,0.4221,1.51832,1.12904,1.8217,0.0008516,0.0008516,0.0008516
31,2414.12,1.43994,1.40205,1.67306,0.78381,0.6954,0.78857,0.42884,1.52563,1.12679,1.82018,0.000812,0.000812,0.000812
32,2495.05,1.42615,1.39466,1.66516,0.78558,0.71404,0.79261,0.42512,1.50486,1.1075,1.8068,0.0007724,0.0007724,0.0007724
33,2572.29,1.43212,1.38018,1.66051,0.81708,0.6972,0.8004,0.43439,1.52506,1.08616,1.80056,0.0007328,0.0007328,0.0007328
34,2649.25,1.41174,1.3354,1.64287,0.81016,0.70587,0.80054,0.435,1.52872,1.06902,1.81337,0.0006932,0.0006932,0.0006932
35,2726.08,1.40901,1.3399,1.64605,0.80349,0.70064,0.80329,0.44411,1.49167,1.06722,1.7734,0.0006536,0.0006536,0.0006536
36,2803.83,1.39877,1.3405,1.63488,0.79486,0.7152,0.80169,0.44271,1.50051,1.06108,1.80503,0.000614,0.000614,0.000614
37,2881.98,1.39135,1.30556,1.62618,0.80648,0.72813,0.80844,0.44929,1.50683,1.04382,1.79531,0.0005744,0.0005744,0.0005744
38,2959.9,1.38407,1.30139,1.62407,0.80443,0.72585,0.81237,0.45228,1.4833,1.04829,1.77173,0.0005348,0.0005348,0.0005348
39,3036.25,1.37522,1.26559,1.61542,0.82761,0.7152,0.81619,0.45019,1.4952,1.01219,1.77658,0.0004952,0.0004952,0.0004952
40,3113.56,1.3825,1.26812,1.62016,0.82066,0.72493,0.82001,0.45111,1.50037,1.02532,1.78272,0.0004556,0.0004556,0.0004556
41,3215.21,1.38243,1.06065,1.69092,0.83967,0.73205,0.81895,0.45472,1.47763,1.00159,1.76383,0.000416,0.000416,0.000416
42,3292.39,1.36077,1.01854,1.66931,0.81751,0.74374,0.82162,0.46189,1.47316,0.99333,1.77421,0.0003764,0.0003764,0.0003764
43,3369.32,1.34233,0.9896,1.65196,0.82005,0.73675,0.82131,0.461,1.46599,0.98714,1.76466,0.0003368,0.0003368,0.0003368
44,3444.79,1.33486,0.96078,1.6369,0.85108,0.73559,0.82851,0.46673,1.45598,0.98274,1.75344,0.0002972,0.0002972,0.0002972
